Harmônico;Modelo Físico (dB);Modelo Virtual (dB);Diferença (dB);% erro;;;;;;;;;;Harmônico;Modelo Físico;Modelo Virtual;Diferença;% erro
1º;97,0190;96,1996;0,8194;1%;;;;;;;;;;1º;70949,45;64562,64;6386,81;9%
2º;78,2154;77,8114;0,4040;1%;;;;;;;;;;2º;8142,771;7772,687;370,084;5%
3º;91,5411;91,3275;0,2136;0%;;;;;;;;;;3º;37761,8;36844,65;917,15;2%
4º;75,3238;74,8114;0,5124;1%;;;;;;;;;;4º;5837,03;5502,653;334,377;6%
5º;66,8803;70,9111;-4,0307;-6%;;;;;;;;;;5º;2208,085;3511,985;-1303,9;-59%
6º;66,8826;62,9203;3,9623;6%;;;;;;;;;;6º;2208,664;1399,64;809,024;37%
7º;75,0012;72,4387;2,5625;3%;;;;;;;;;;7º;5624,203;4187,296;1436,907;26%
8º;70,6243;68,7227;1,9015;3%;;;;;;;;;;8º;3397,92;2729,831;668,089;20%
9º;71,4949;69,6470;1,8478;3%;;;;;;;;;;9º;3756,152;3036,347;719,805;19%
10º;66,3651;65,8786;0,4865;1%;;;;;;;;;;10º;2080,912;1967,567;113,345;5%
11º;63,5033;63,3125;0,1908;0%;;;;;;;;;;11º;1496,799;1464,281;32,518;2%
12º;59,4815;60,8358;-1,3544;-2%;;;;;;;;;;12º;942,0478;1101,013;-158,9652;-17%
